relative_path,extension,status,extractor,chars,words,notes
.DS_Store,,ok,skip,0,0,macOS metadata file; no substantive content
Client Inputs/.DS_Store,,ok,skip,0,0,macOS metadata file; no substantive content
Client Inputs/1. Valyx FDD Input/Assets/BS - Liabilities/Other Current Liabilities/DD7.5 GST Payable till Feb-26.xlsx,.xlsx,ok,openpyxl,24298,3142,
Client Inputs/1. Valyx FDD Input/Assets/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/TDS on Salary FY 2023-24.xls,.xls,ok,openpyxl-mislabeled-xls,1036,191,
Client Inputs/1. Valyx FDD Input/Assets/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/TDS on prof FY 2023-24.xls,.xls,ok,openpyxl-mislabeled-xls,1348,253,
Client Inputs/1. Valyx FDD Input/Assets/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2025-26/TDS Payable till Feb-26.xlsx,.xlsx,ok,openpyxl,9217,1111,
Client Inputs/1. Valyx FDD Input/Assets/BS - Liabilities/Trade Payable List along with MSME vendors.xlsx,.xlsx,ok,openpyxl,4878,984,
Client Inputs/1. Valyx FDD Input/Assets/BS - Reserves/DD6.0 Shareholer wise calculation of Premium.xlsx,.xlsx,ok,openpyxl,2108,489,
Client Inputs/1. Valyx FDD Input/Assets/BS - Reserves/Valuation report - Aug 2023.pdf,.pdf,ok,pymupdf,19761,3207,
Client Inputs/1. Valyx FDD Input/Assets/BS - Reserves/Valuation report - Jan-24.pdf,.pdf,ok,pymupdf,334,24,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/5. Dec 23.XLS,.xls,ok,xlrd,2402,384,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/1. Aug-23.PDF,.pdf,ok,pymupdf,1397,227,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/2. Sept-23.PDF,.pdf,ok,pymupdf,1309,212,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/3. Oct-23.PDF,.pdf,ok,pymupdf,1656,277,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/4. Nov-23.PDF,.pdf,ok,pymupdf,3728,620,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/5. Dec-23.PDF,.pdf,ok,pymupdf,3103,510,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/6. Jan-24.PDF,.pdf,ok,pymupdf,2064,332,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/7.Feb-24.PDF,.pdf,ok,pymupdf,3095,499,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/8. Mar-24.PDF,.pdf,ok,pymupdf,3839,611,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/1. Sep 2023.XLS,.xls,ok,xlrd,1008,155,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/2. Oct 2023.XLS,.xls,ok,xlrd,709,103,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/3. Nov 2023.CSV,.csv,ok,csv,1161,155,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/4. Dec 2023.XLS,.xls,ok,xlrd,827,124,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/5. Jan 2024.XLS,.xls,ok,xlrd,678,99,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/6. Feb 2024.XLS,.xls,ok,xlrd,873,128,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/7. Mar 2024.XLS,.xls,ok,xlrd,715,102,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/1. Sept-23.PDF,.pdf,ok,pymupdf,1516,247,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/2. Oct-23.PDF,.pdf,ok,pymupdf,1244,199,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/3. Nov-23.PDF,.pdf,ok,pymupdf,1528,250,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/4. Dec-23.PDF,.pdf,ok,pymupdf,1356,219,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/5. Jan-24.PDF,.pdf,ok,pymupdf,1200,194,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/6. Feb-24.PDF,.pdf,ok,pymupdf,1383,224,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/7. Mar-24.PDF,.pdf,ok,pymupdf,1236,197,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/1. April-24.XLS,.xls,ok,xlrd,1373,206,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/10.Jan-25.XLS,.xls,ok,xlrd,2693,413,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/11.Feb-25.XLS,.xls,ok,xlrd,2401,365,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/12.Mar-25.XLS,.xls,ok,xlrd,3131,486,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/2. May-24.XLS,.xls,ok,xlrd,1862,303,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/3. June-24.XLS,.xls,ok,xlrd,2058,318,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/4. July-24.XLS,.xls,ok,xlrd,1700,259,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/5. Aug-24.XLS,.xls,ok,xlrd,4526,705,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/6. September-24.XLS,.xls,ok,xlrd,2747,434,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/7. October-24.XLS,.xls,ok,xlrd,1961,304,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/8. November-24.XLS,.xls,ok,xlrd,2699,418,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/9.December-24.XLS,.xls,ok,xlrd,2049,316,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/Bank statements PDF/1.Apr-24.PDF,.pdf,ok,pymupdf,1820,291,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/Bank statements PDF/10.Jan-25.PDF,.pdf,ok,pymupdf,3464,567,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/Bank statements PDF/11.Feb-25.PDF,.pdf,ok,pymupdf,3133,510,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/Bank statements PDF/12.Mar-25.PDF,.pdf,ok,pymupdf,3896,642,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/Bank statements PDF/2.May-24.PDF,.pdf,ok,pymupdf,2169,375,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/Bank statements PDF/3.Jun-24.PDF,.pdf,ok,pymupdf,2395,394,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/Bank statements PDF/4.Jul-24.PDF,.pdf,ok,pymupdf,2096,341,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/Bank statements PDF/5.Aug-24.PDF,.pdf,ok,pymupdf,5051,826,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/Bank statements PDF/6.Sep-24.PDF,.pdf,ok,pymupdf,3504,584,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/Bank statements PDF/7.Oct-24.PDF,.pdf,ok,pymupdf,2301,382,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/Bank statements PDF/8.Nov-24.PDF,.pdf,ok,pymupdf,3487,570,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/Bank statements PDF/9.Dec-24.PDF,.pdf,ok,pymupdf,2410,396,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/1. Apr-24.XLS,.xls,ok,xlrd,715,102,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/10.Jan-25.XLS,.xls,ok,xlrd,1530,263,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/11.Feb-25.XLS,.xls,ok,xlrd,1282,214,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/12.Mar-25.XLS,.xls,ok,xlrd,1447,240,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/2. May-24.XLS,.xls,ok,xlrd,1015,152,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/3. June-24.XLS,.xls,ok,xlrd,910,145,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/4. July-24.XLS,.xls,ok,xlrd,1489,262,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/5. August-24.XLS,.xls,ok,xlrd,1645,285,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/6. September-24.XLS,.xls,ok,xlrd,1288,214,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/7. October-24.XLS,.xls,ok,xlrd,858,129,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/8. November-24.XLS,.xls,ok,xlrd,1641,283,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/9.December-24.XLS,.xls,ok,xlrd,1284,214,
