source_kind,path,relative_path,extension,size_bytes,sha256,readable,extractor,text_path,chars,status,notes
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/.DS_Store,.DS_Store,,6148,a42a63de378a5afe7912002ed36008d3d0491d8108d21d4378aa8407d35ff49a,True,skip,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/.DS_Store.eaa3d84cb7.txt,0,ok,macOS metadata file; no substantive content
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/.DS_Store,Client Inputs/.DS_Store,,6148,df1f6a2401d7e0105217bd1381e24cff02f5abaa80714e2d66b7158eb5cc077f,True,skip,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_.DS_Store.316d014332.txt,0,ok,macOS metadata file; no substantive content
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/BS - Liabilities/Other Current Liabilities/DD7.5 GST Payable till Feb-26.xlsx,Client Inputs/1. Valyx FDD Input/Assets/BS - Liabilities/Other Current Liabilities/DD7.5 GST Payable till Feb-26.xlsx,.xlsx,24094,1b73659044532f74e87b8a60bd8753d6cb618340b693834dab2bbd3b6944ab5b,True,openpyxl,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_BS_-_Liabilities_Other_Current_Liabilities_DD7.5_GST_Payable_till_Feb-26.xlsx.f5f750e316.txt,24298,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/TDS on Salary FY 2023-24.xls,Client Inputs/1. Valyx FDD Input/Assets/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/TDS on Salary FY 2023-24.xls,.xls,10772,ede78cf5ce93d20ffe822e51fab9a3bf14b7eca7ba125a9f3f34a8c8d8b1aa81,True,openpyxl-mislabeled-xls,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/_-_Liabilities_Other_Current_Liabilities_DD7.5_Opening_Balance_on_Statutory_dues_FY_2023-24_TDS_on_Salary_FY_2023-24.xls.961f40ca66.txt,1036,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/TDS on prof FY 2023-24.xls,Client Inputs/1. Valyx FDD Input/Assets/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2023-24/TDS on prof FY 2023-24.xls,.xls,11007,e213abbdb8e0f8234e6bb6ade8e10334995821d048bc6e9140d8a3894a599306,True,openpyxl-mislabeled-xls,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/BS_-_Liabilities_Other_Current_Liabilities_DD7.5_Opening_Balance_on_Statutory_dues_FY_2023-24_TDS_on_prof_FY_2023-24.xls.e775cbdbd9.txt,1348,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2025-26/TDS Payable till Feb-26.xlsx,Client Inputs/1. Valyx FDD Input/Assets/BS - Liabilities/Other Current Liabilities/DD7.5 Opening Balance on Statutory dues/FY 2025-26/TDS Payable till Feb-26.xlsx,.xlsx,18487,7e4be2cfd6b6e0e99ef13fd6c57f5f4bf6165b20f3bae8248902bbed853c1a43,True,openpyxl,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/_-_Liabilities_Other_Current_Liabilities_DD7.5_Opening_Balance_on_Statutory_dues_FY_2025-26_TDS_Payable_till_Feb-26.xlsx.49d61b6d9f.txt,9217,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/BS - Liabilities/Trade Payable List along with MSME vendors.xlsx,Client Inputs/1. Valyx FDD Input/Assets/BS - Liabilities/Trade Payable List along with MSME vendors.xlsx,.xlsx,25868,fc42cd8f91e01c2bbd85e7c43e6b179eba4783f17d3bf5689bab8f4c2a368fc7,True,openpyxl,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_BS_-_Liabilities_Trade_Payable_List_along_with_MSME_vendors.xlsx.ad532c81ba.txt,4878,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/BS - Reserves/DD6.0 Shareholer wise calculation of Premium.xlsx,Client Inputs/1. Valyx FDD Input/Assets/BS - Reserves/DD6.0 Shareholer wise calculation of Premium.xlsx,.xlsx,20439,5a80f110846f89e441872861916377c242cf4196d6691efc55a606e186ca52d5,True,openpyxl,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_BS_-_Reserves_DD6.0_Shareholer_wise_calculation_of_Premium.xlsx.9c99aff817.txt,2108,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/BS - Reserves/Valuation report - Aug 2023.pdf,Client Inputs/1. Valyx FDD Input/Assets/BS - Reserves/Valuation report - Aug 2023.pdf,.pdf,1752264,3368da6be218c7e7670d6a1ef014fe24948c181e2d421301953388b3336a201f,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_BS_-_Reserves_Valuation_report_-_Aug_2023.pdf.10a91e093c.txt,19761,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/BS - Reserves/Valuation report - Jan-24.pdf,Client Inputs/1. Valyx FDD Input/Assets/BS - Reserves/Valuation report - Jan-24.pdf,.pdf,1963769,001377c8941583a588fea15eebfb96ef4c1f5e524485c425ae96b8551da23956,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_BS_-_Reserves_Valuation_report_-_Jan-24.pdf.743a3d33d7.txt,334,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/5. Dec 23.XLS,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/5. Dec 23.XLS,.xls,46080,4e15018005a45ba0748d4f40c808aed11ca904cc6530f7dd55218d74af89ba54,True,xlrd,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200081242400_5._Dec_23.XLS.d70f7332f6.txt,2402,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/1. Aug-23.PDF,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/1. Aug-23.PDF,.pdf,72708,c9849684f50650f95de4dee61b1abadbe5d29b578ad40c1bb116b1bd571aceaa,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200081242400_Statement_pdf_1._Aug-23.PDF.0500849b2c.txt,1397,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/2. Sept-23.PDF,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/2. Sept-23.PDF,.pdf,72601,254202104ff991a034625cd28f9075485bbfaed03e3e503cc1cb9aee6341d1d2,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200081242400_Statement_pdf_2._Sept-23.PDF.7bc23e410f.txt,1309,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/3. Oct-23.PDF,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/3. Oct-23.PDF,.pdf,72941,035b29a5b1946ffc8c2d1714f81f54b531df378f7d1f1c088fa3d6c89b70840c,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200081242400_Statement_pdf_3._Oct-23.PDF.cfd5a70dc8.txt,1656,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/4. Nov-23.PDF,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/4. Nov-23.PDF,.pdf,75585,81bdaf8b252415fcdcc6c3321788a86d1cd77499d57400700d5db8ae00ecffae,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200081242400_Statement_pdf_4._Nov-23.PDF.4e567cdd55.txt,3728,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/5. Dec-23.PDF,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/5. Dec-23.PDF,.pdf,74684,cc4b626d88977fd95b2599fb6b1a17fcecbd797346aa3a9561eaec4738cc32be,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200081242400_Statement_pdf_5._Dec-23.PDF.b6919cfb0a.txt,3103,ok,
