files_touched,lines_added,lines_removed,prompt_chars,task_id,tests_exit_code,total_ms,trial,ts,variant
0,0,0,525,task01_explain_jwt,na,33214,1,20260525T164031Z,fabric
0,0,0,449,task01_explain_jwt,na,51442,1,20260525T164911Z,fabric
0,0,0,937,task01_explain_jwt,na,54914,1,20260525T164108Z,fabric-improve
0,0,0,73,task01_explain_jwt,na,23814,1,20260525T165211Z,hermes
0,0,0,73,task01_explain_jwt,na,29227,1,20260525T165416Z,hermes
0,0,0,555,task01_explain_jwt,na,33248,1,20260525T165746Z,hermes-fabric
0,0,0,73,task01_explain_jwt,na,1927758,1,20260525T160350Z,raw
0,0,0,73,task01_explain_jwt,na,40541,1,20260525T163950Z,raw
0,0,0,73,task01_explain_jwt,na,51304,1,20260525T164818Z,raw
0,0,0,116,task02_signup_flow,na,62166,1,20260525T165953Z,hermes
0,0,0,1847,task02_signup_flow,na,14067,1,20260525T170356Z,hermes-fabric
2,2,0,572,task03_failing_test,0,43370,1,20260525T171020Z,hermes-fabric
2,13,1,184,task04_input_validation,0,48397,1,20260525T171238Z,hermes
4,36,4,116,task05_dry_run_flag,0,57729,1,20260525T171929Z,hermes
4,22,4,856,task05_dry_run_flag,0,68024,1,20260525T172328Z,hermes-fabric
4,3,3,191,task06_signature_change,0,74915,1,20260525T172613Z,hermes
2,1,1,665,task06_signature_change,0,74903,1,20260525T173029Z,hermes-fabric
2,14,4,130,task07_print_to_logger,na,70647,1,20260525T173320Z,hermes
4,87,8,231,task08_config_migration,0,68995,1,20260525T174032Z,hermes
4,55,7,968,task08_config_migration,0,67291,1,20260525T174443Z,hermes-fabric
0,0,0,2382,task09_flaky_workers,0,67617,1,20260525T175157Z,hermes-fabric
0,0,0,170,task10_fm_cli,na,81917,1,20260525T175447Z,hermes
