,,,,,,,,
,,,,,,2324372.36,,
Date,Transactions,Details,Inv No,,Lookup,Amount,Diff,Remarks
17/05/2023,Bill,1567210024081<div>,NY/23-24/028,"- due on 11/06/2023</div>
",#N/A,240981.55,,Wrong Invoice No / Inv No as per Books - 023
26/06/2023,Bill,1567210027912<div>,NY/23-24/122,"- due on 20/07/2023</div>
",31469.00,31468.78,0.22,
30/06/2023,Bill,"TDS-REV-JUNE-60 - due on 30/06/2023
","TDS-REV-JUNE-60 - due on 30/06/2023
",,,1.64,,TDS amount reversed
05/07/2023,Bill,1567210028403<div>,NY/23-24/149,"- due on 02/08/2023</div>
",114456.00,114456.37,-0.37,
28/07/2023,Bill,1567210030441<div>,NY/23-24/202,"- due on 19/04/2026</div>
",30726.00,30725.86,0.14,
31/07/2023,Bill,"TDS-REV-JUL-125 - due on 31/07/2023
","TDS-REV-JUL-125 - due on 31/07/2023
",,,0.57,,TDS amount reversed
01/08/2023,Bill,1567210025754<div>,NY/23-24/092,"- due on 02/03/2026</div>
",43758.00,43758.04,-0.04,
17/08/2023,Bill,1567210025852<div>,NY/23-24/091,"- due on 02/03/2026</div>
",65050.00,65085.58,-35.58,Amount Mismatch
18/08/2023,Bill,1567210032447<div>,NY/23-24/238,"- due on 06/05/2026</div>
",32837.00,32837.58,-0.58,
23/08/2023,Bill,1567210032088<div>,NY/23-24/237,"- due on 06/05/2026</div>
",62565.00,62564.7,0.30,
23/08/2023,Bill,1567210027975<div>,NY/23-24/123,"- due on 15/03/2026</div>
",26066.00,26066.35,-0.35,
24/08/2023,Bill,1567210030985<div>,NY/23-24/215,"- due on 21/04/2026</div>
",18985.00,18984.63,0.37,
31/08/2023,Bill,"TDS-REV-AUG-20 - due on 31/08/2023
","TDS-REV-AUG-20 - due on 31/08/2023
",,,5.76,,TDS amount reversed
31/08/2023,Bill,"TDS-REV-AUG-390 - due on 31/08/2023
","TDS-REV-AUG-390 - due on 31/08/2023
",,,5.01,,TDS amount reversed
31/08/2023,Bill,"TDS-REV-AUG-414 - due on 31/08/2023
","TDS-REV-AUG-414 - due on 31/08/2023
",,,23.04,,TDS amount reversed
31/08/2023,Bill,"TDS-REV-AUG-516 - due on 31/08/2023
","TDS-REV-AUG-516 - due on 31/08/2023
",,,35.46,,TDS amount reversed
31/08/2023,Bill,"TDS-REV-AUG-559 - due on 31/08/2023
","TDS-REV-AUG-559 - due on 31/08/2023
",,,8.82,,TDS amount reversed
31/08/2023,Bill,"TDS-REV-AUG-599 - due on 31/08/2023
","TDS-REV-AUG-599 - due on 31/08/2023
",,,4.73,,TDS amount reversed
04/09/2023,Bill,1567210033853<div>,NY/23-24/257,"- due on 21/05/2026</div>
",45314.00,45313.71,0.29,
08/09/2023,Bill,1567210034404<div>,NY/23-24/262,"- due on 26/05/2026</div>
",113985.00,113985.29,-0.29,
18/09/2023,Bill,1567210035735<div>,NY/23-24/282,"- due on 09/06/2026</div>
",57674.00,57674.01,-0.01,
30/09/2023,Bill,"TDS-REV-SEP-57 - due on 30/09/2023
","TDS-REV-SEP-57 - due on 30/09/2023
",,,3.01,,TDS amount reversed
30/09/2023,Bill,"TDS-REV-SEP-153 - due on 30/09/2023
","TDS-REV-SEP-153 - due on 30/09/2023
",,,11.62,,TDS amount reversed
05/10/2023,Bill,1567210036193<div>,NY/23-24/287,"- due on 16/06/2026</div>
",19907.84,19908.07,-0.23,
05/10/2023,Bill,1567210036297<div>,NY/23-24/288,"- due on 16/06/2026</div>
",17232.64,17232.55,0.09,
31/10/2023,Bill,"TDS-REV-OCT-67 - due on 31/10/2023
","TDS-REV-OCT-67 - due on 31/10/2023
",,,9.4,,TDS amount reversed
15/12/2023,Bill,1567210037958<div>,NY/23-24/308,"- due on 12/07/2026</div>
",265155.00,265156.29,-1.29,
18/12/2023,Bill,1567210043411<div>,NY/23-24/374,"- due on 05/09/2026</div>
",118111.00,118111.78,-0.78,
22/12/2023,Bill,1567210043936<div>,NY/23-24/378,"- due on 12/09/2026</div>
",64772.00,64771.68,0.32,
31/12/2023,Bill,"TDS-REV-DEC-80 - due on 31/12/2023
","TDS-REV-DEC-80 - due on 31/12/2023
",,,38.92,,TDS amount reversed
05/01/2024,Bill,1567210044522<div>,NY/23-24/387,"- due on 20/09/2026</div>
",28195.00,28195.31,-0.31,
09/01/2024,Bill,1567210044924<div>,NY/23-24/398,"- due on 03/10/2026</div>
₹178.80 from C15672R230047722",65322.00,65321.98,0.02,
26/01/2024,Bill,1567210045464<div>,NY/23-24/402,"- due on 10/10/2026</div>
",49899.00,49898.72,0.28,
31/01/2024,Bill,1567210045972<div>,NY/23-24/409,"- due on 14/10/2026</div>
",60923.00,60923.45,-0.45,
31/01/2024,Bill,"TDS-REV-JAN-78 - due on 31/01/2024
","TDS-REV-JAN-78 - due on 31/01/2024
",,,3.16,,TDS amount reversed
22/02/2024,Bill,1567210047492<div>,NY/23-24/416,"- due on 01/11/2026</div>
",32121.00,32120.68,0.32,
25/02/2024,Bill,1567210048607<div>,NY/23-24/433,"- due on 15/11/2026</div>
",118988.00,118988.14,-0.14,
29/02/2024,Bill,"TDS-REV-FEB-76 - due on 29/02/2024
","TDS-REV-FEB-76 - due on 29/02/2024
",,,4.99,,TDS amount reversed
08/03/2024,Bill,1567210049194<div>,NY/23-24/438,"- due on 24/11/2026</div>
",44448.00,44448.62,-0.62,
22/03/2024,Bill,1567210050303<div>,NY/23-24/444,"- due on 10/12/2026</div>
",231804.00,231805.7,-1.70,
31/03/2024,Bill,"TDS-REV-MAR-78 - due on 31/03/2024
","TDS-REV-MAR-78 - due on 31/03/2024
",,,1.19,,TDS amount reversed
13/05/2024,Bill,1567210053425<div>,NY/24-25/17,"- due on 13/01/2027</div>
",47426.00,47425.88,0.12,
14/05/2024,Bill,1567210052880<div>,NY/23-24/491,"- due on 14/01/2027</div>
",83343.00,83343.63,-0.63,
18/05/2024,Bill,1567210054692<div>,NY/24-25/25,"- due on 24/01/2027</div>
₹179.40 from C15672R240004421",100329.00,100329.41,-0.41,
21/05/2024,Bill,1567210054073<div>,NY/24-25/23,"- due on 20/01/2027</div>
",92331.00,92330.7,0.30,
