invoice,status,tally_date,blinkit_date,tally_amount,blinkit_amount,difference_blinkit_minus_tally,tally_remarks,blinkit_remarks
NY/23-24/092,MATCHED_ROUNDING_OK,27-May-23,01/08/2023,43758.00,43758.04,0.04,,
NY/23-24/122,MATCHED_ROUNDING_OK,14-Jun-23,26/06/2023,31469.00,31468.78,-0.22,,
NY/23-24/123,MATCHED_ROUNDING_OK,14-Jun-23,23/08/2023,26066.00,26066.35,0.35,,
NY/23-24/149,MATCHED_ROUNDING_OK,24-Jun-23,05/07/2023,114456.00,114456.37,0.37,,
NY/23-24/202,MATCHED_ROUNDING_OK,15-Jul-23,28/07/2023,30726.00,30725.86,-0.14,,
NY/23-24/215,MATCHED_ROUNDING_OK,21-Jul-23,24/08/2023,18985.00,18984.63,-0.37,,
NY/23-24/237,MATCHED_ROUNDING_OK,31-Jul-23,23/08/2023,62565.00,62564.70,-0.30,,
NY/23-24/238,MATCHED_ROUNDING_OK,31-Jul-23,18/08/2023,32837.00,32837.58,0.58,,
NY/23-24/257,MATCHED_ROUNDING_OK,19-Aug-23,04/09/2023,45314.00,45313.71,-0.29,,
NY/23-24/262,MATCHED_ROUNDING_OK,24-Aug-23,08/09/2023,113985.00,113985.29,0.29,,
NY/23-24/282,MATCHED_ROUNDING_OK,8-Sep-23,18/09/2023,57674.00,57674.01,0.01,,
NY/23-24/287,MATCHED_ROUNDING_OK,15-Sep-23,05/10/2023,19907.84,19908.07,0.23,,
NY/23-24/288,MATCHED_ROUNDING_OK,15-Sep-23,05/10/2023,17232.64,17232.55,-0.09,,
NY/23-24/374,MATCHED_ROUNDING_OK,2-Dec-23,18/12/2023,118111.00,118111.78,0.78,,
NY/23-24/378,MATCHED_ROUNDING_OK,9-Dec-23,22/12/2023,64772.00,64771.68,-0.32,,
NY/23-24/387,MATCHED_ROUNDING_OK,18-Dec-23,05/01/2024,28195.00,28195.31,0.31,,
NY/23-24/398,MATCHED_ROUNDING_OK,29-Dec-23,09/01/2024,65322.00,65321.98,-0.02,,
NY/23-24/402,MATCHED_ROUNDING_OK,4-Jan-24,26/01/2024,49899.00,49898.72,-0.28,,
NY/23-24/409,MATCHED_ROUNDING_OK,11-Jan-24,31/01/2024,60923.00,60923.45,0.45,,
NY/23-24/416,MATCHED_ROUNDING_OK,30-Jan-24,22/02/2024,32121.00,32120.68,-0.32,,
NY/23-24/433,MATCHED_ROUNDING_OK,14-Feb-24,25/02/2024,118988.00,118988.14,0.14,,
NY/23-24/438,MATCHED_ROUNDING_OK,22-Feb-24,08/03/2024,44448.00,44448.62,0.62,,
NY/23-24/491,MATCHED_ROUNDING_OK,30-Mar-24,14/05/2024,83343.00,83343.63,0.63,,
NY/24-25/17,MATCHED_ROUNDING_OK,12-Apr-24,13/05/2024,47426.00,47425.88,-0.12,,
NY/24-25/23,MATCHED_ROUNDING_OK,17-Apr-24,21/05/2024,92331.00,92330.70,-0.30,,
NY/24-25/25,MATCHED_ROUNDING_OK,18-Apr-24,18/05/2024,100329.00,100329.41,0.41,,
