invoice,status,tally_date,blinkit_date,tally_amount,blinkit_amount,difference_blinkit_minus_tally,tally_remarks,blinkit_remarks
NY/23-24/023,TALLY_ONLY,28-Apr-23,,240981.00,,,Inv Number Mismatch,
NY/23-24/097,TALLY_ONLY,31-May-23,,43239.00,,,Inv not found in Blintit,
NY/23-24/098,TALLY_ONLY,31-May-23,,59098.00,,,Inv not found in Blintit,
NY/23-24/161,TALLY_ONLY,29-Jun-23,,55347.00,,,Inv not found in Blintit,
NY/23-24/208,TALLY_ONLY,17-Jul-23,,32910.00,,,Inv not found in Blintit,
NY/23-24/214,TALLY_ONLY,21-Jul-23,,17277.00,,,Inv not found in Blintit,
NY/23-24/239,TALLY_ONLY,27-Jul-23,,9757.00,,,Inv not found in Blintit,
NY/23-24/240,TALLY_ONLY,31-Jul-23,,34321.00,,,Inv not found in Blintit,
NY/23-24/250,TALLY_ONLY,11-Aug-23,,19570.00,,,Inv not found in Blintit,
NY/23-24/251,TALLY_ONLY,11-Aug-23,,14960.00,,,Inv not found in Blintit,
NY/23-24/264,TALLY_ONLY,25-Aug-23,,22475.00,,,Inv not found in Blintit,
NY/23-24/270,TALLY_ONLY,30-Aug-23,,44897.00,,,Inv not found in Blintit,
NY/23-24/271,TALLY_ONLY,30-Aug-23,,57618.00,,,Inv not found in Blintit,
NY/23-24/272,TALLY_ONLY,30-Aug-23,,36141.00,,,Inv not found in Blintit,
NY/23-24/274,TALLY_ONLY,31-Aug-23,,38462.00,,,Inv not found in Blintit,
NY/23-24/275,TALLY_ONLY,31-Aug-23,,26869.00,,,Inv not found in Blintit,
NY/23-24/276,TALLY_ONLY,31-Aug-23,,25802.00,,,Inv not found in Blintit,
NY/23-24/293,TALLY_ONLY,21-Sep-23,,55400.00,,,Inv not found in Blintit,
NY/23-24/298,TALLY_ONLY,28-Sep-23,,26827.00,,,Inv not found in Blintit,
NY/23-24/299,TALLY_ONLY,28-Sep-23,,71408.00,,,Inv not found in Blintit,
NY/23-24/319,TALLY_ONLY,24-Oct-23,,110709.00,,,Inv not found in Blintit,
NY/23-24/353,TALLY_ONLY,2-Nov-23,,30474.00,,,Inv not found in Blintit,
NY/23-24/366,TALLY_ONLY,24-Nov-23,,74498.00,,,Inv not found in Blintit,
NY/23-24/369,TALLY_ONLY,24-Nov-23,,31071.00,,,Inv not found in Blintit,
NY/23-24/411,TALLY_ONLY,19-Jan-24,,58210.00,,,Inv not found in Blintit,
NY/23-24/422,TALLY_ONLY,31-Jan-24,,30910.00,,,Inv not found in Blintit,
NY/23-24/440,TALLY_ONLY,26-Feb-24,,56092.00,,,Inv not found in Blintit,
NY/23-24/446,TALLY_ONLY,28-Feb-24,,22628.00,,,Inv not found in Blintit,
NY/23-24/465,TALLY_ONLY,15-Mar-24,,18044.00,,,Inv not found in Blintit,
