date,invoice,amount,remarks
30/06/2023,TDS-REV-JUNE-60 - due on 30/06/2023,1.64,TDS amount reversed
31/07/2023,TDS-REV-JUL-125 - due on 31/07/2023,0.57,TDS amount reversed
31/08/2023,TDS-REV-AUG-20 - due on 31/08/2023,5.76,TDS amount reversed
31/08/2023,TDS-REV-AUG-390 - due on 31/08/2023,5.01,TDS amount reversed
31/08/2023,TDS-REV-AUG-414 - due on 31/08/2023,23.04,TDS amount reversed
31/08/2023,TDS-REV-AUG-516 - due on 31/08/2023,35.46,TDS amount reversed
31/08/2023,TDS-REV-AUG-559 - due on 31/08/2023,8.82,TDS amount reversed
31/08/2023,TDS-REV-AUG-599 - due on 31/08/2023,4.73,TDS amount reversed
30/09/2023,TDS-REV-SEP-57 - due on 30/09/2023,3.01,TDS amount reversed
30/09/2023,TDS-REV-SEP-153 - due on 30/09/2023,11.62,TDS amount reversed
31/10/2023,TDS-REV-OCT-67 - due on 31/10/2023,9.40,TDS amount reversed
31/12/2023,TDS-REV-DEC-80 - due on 31/12/2023,38.92,TDS amount reversed
31/01/2024,TDS-REV-JAN-78 - due on 31/01/2024,3.16,TDS amount reversed
29/02/2024,TDS-REV-FEB-76 - due on 29/02/2024,4.99,TDS amount reversed
31/03/2024,TDS-REV-MAR-78 - due on 31/03/2024,1.19,TDS amount reversed
