status,invoice,blinkit_invoice,tally_invoice,blinkit_date,tally_date,blinkit_amount,tally_amount,difference_blinkit_minus_tally,remarks
INVOICE_NUMBER_MISMATCH,NY/23-24/028 / NY/23-24/023,NY/23-24/028,NY/23-24/023,17/05/2023,28-Apr-23,240981.55,240981.00,0.55,Blinkit says wrong invoice number; Tally books show 023
AMOUNT_MISMATCH,NY/23-24/091,NY/23-24/091,NY/23-24/091,17/08/2023,27-May-23,65085.58,65050.00,35.58,Amount Mismatch
MATCHED_ROUNDING_OK,NY/23-24/092,NY/23-24/092,NY/23-24/092,01/08/2023,27-May-23,43758.04,43758.00,0.04,
MATCHED_ROUNDING_OK,NY/23-24/122,NY/23-24/122,NY/23-24/122,26/06/2023,14-Jun-23,31468.78,31469.00,-0.22,
MATCHED_ROUNDING_OK,NY/23-24/123,NY/23-24/123,NY/23-24/123,23/08/2023,14-Jun-23,26066.35,26066.00,0.35,
MATCHED_ROUNDING_OK,NY/23-24/149,NY/23-24/149,NY/23-24/149,05/07/2023,24-Jun-23,114456.37,114456.00,0.37,
MATCHED_ROUNDING_OK,NY/23-24/202,NY/23-24/202,NY/23-24/202,28/07/2023,15-Jul-23,30725.86,30726.00,-0.14,
MATCHED_ROUNDING_OK,NY/23-24/215,NY/23-24/215,NY/23-24/215,24/08/2023,21-Jul-23,18984.63,18985.00,-0.37,
MATCHED_ROUNDING_OK,NY/23-24/237,NY/23-24/237,NY/23-24/237,23/08/2023,31-Jul-23,62564.70,62565.00,-0.30,
MATCHED_ROUNDING_OK,NY/23-24/238,NY/23-24/238,NY/23-24/238,18/08/2023,31-Jul-23,32837.58,32837.00,0.58,
MATCHED_ROUNDING_OK,NY/23-24/257,NY/23-24/257,NY/23-24/257,04/09/2023,19-Aug-23,45313.71,45314.00,-0.29,
MATCHED_ROUNDING_OK,NY/23-24/262,NY/23-24/262,NY/23-24/262,08/09/2023,24-Aug-23,113985.29,113985.00,0.29,
MATCHED_ROUNDING_OK,NY/23-24/282,NY/23-24/282,NY/23-24/282,18/09/2023,8-Sep-23,57674.01,57674.00,0.01,
MATCHED_ROUNDING_OK,NY/23-24/287,NY/23-24/287,NY/23-24/287,05/10/2023,15-Sep-23,19908.07,19907.84,0.23,
MATCHED_ROUNDING_OK,NY/23-24/288,NY/23-24/288,NY/23-24/288,05/10/2023,15-Sep-23,17232.55,17232.64,-0.09,
AMOUNT_MISMATCH,NY/23-24/308,NY/23-24/308,NY/23-24/308,15/12/2023,6-Oct-23,265156.29,265155.00,1.29,
MATCHED_ROUNDING_OK,NY/23-24/374,NY/23-24/374,NY/23-24/374,18/12/2023,2-Dec-23,118111.78,118111.00,0.78,
MATCHED_ROUNDING_OK,NY/23-24/378,NY/23-24/378,NY/23-24/378,22/12/2023,9-Dec-23,64771.68,64772.00,-0.32,
MATCHED_ROUNDING_OK,NY/23-24/387,NY/23-24/387,NY/23-24/387,05/01/2024,18-Dec-23,28195.31,28195.00,0.31,
MATCHED_ROUNDING_OK,NY/23-24/398,NY/23-24/398,NY/23-24/398,09/01/2024,29-Dec-23,65321.98,65322.00,-0.02,
MATCHED_ROUNDING_OK,NY/23-24/402,NY/23-24/402,NY/23-24/402,26/01/2024,4-Jan-24,49898.72,49899.00,-0.28,
MATCHED_ROUNDING_OK,NY/23-24/409,NY/23-24/409,NY/23-24/409,31/01/2024,11-Jan-24,60923.45,60923.00,0.45,
MATCHED_ROUNDING_OK,NY/23-24/416,NY/23-24/416,NY/23-24/416,22/02/2024,30-Jan-24,32120.68,32121.00,-0.32,
MATCHED_ROUNDING_OK,NY/23-24/433,NY/23-24/433,NY/23-24/433,25/02/2024,14-Feb-24,118988.14,118988.00,0.14,
MATCHED_ROUNDING_OK,NY/23-24/438,NY/23-24/438,NY/23-24/438,08/03/2024,22-Feb-24,44448.62,44448.00,0.62,
AMOUNT_MISMATCH,NY/23-24/444,NY/23-24/444,NY/23-24/444,22/03/2024,29-Feb-24,231805.70,231804.00,1.70,
MATCHED_ROUNDING_OK,NY/23-24/491,NY/23-24/491,NY/23-24/491,14/05/2024,30-Mar-24,83343.63,83343.00,0.63,
MATCHED_ROUNDING_OK,NY/24-25/17,NY/24-25/17,NY/24-25/17,13/05/2024,12-Apr-24,47425.88,47426.00,-0.12,
MATCHED_ROUNDING_OK,NY/24-25/23,NY/24-25/23,NY/24-25/23,21/05/2024,17-Apr-24,92330.70,92331.00,-0.30,
MATCHED_ROUNDING_OK,NY/24-25/25,NY/24-25/25,NY/24-25/25,18/05/2024,18-Apr-24,100329.41,100329.00,0.41,
BLINKIT_ONLY_TDS_REVERSAL,TDS-REV-AUG-20 - due on 31/08/2023,TDS-REV-AUG-20 - due on 31/08/2023,,31/08/2023,,5.76,,,TDS amount reversed
BLINKIT_ONLY_TDS_REVERSAL,TDS-REV-AUG-390 - due on 31/08/2023,TDS-REV-AUG-390 - due on 31/08/2023,,31/08/2023,,5.01,,,TDS amount reversed
BLINKIT_ONLY_TDS_REVERSAL,TDS-REV-AUG-414 - due on 31/08/2023,TDS-REV-AUG-414 - due on 31/08/2023,,31/08/2023,,23.04,,,TDS amount reversed
BLINKIT_ONLY_TDS_REVERSAL,TDS-REV-AUG-516 - due on 31/08/2023,TDS-REV-AUG-516 - due on 31/08/2023,,31/08/2023,,35.46,,,TDS amount reversed
BLINKIT_ONLY_TDS_REVERSAL,TDS-REV-AUG-559 - due on 31/08/2023,TDS-REV-AUG-559 - due on 31/08/2023,,31/08/2023,,8.82,,,TDS amount reversed
BLINKIT_ONLY_TDS_REVERSAL,TDS-REV-AUG-599 - due on 31/08/2023,TDS-REV-AUG-599 - due on 31/08/2023,,31/08/2023,,4.73,,,TDS amount reversed
BLINKIT_ONLY_TDS_REVERSAL,TDS-REV-DEC-80 - due on 31/12/2023,TDS-REV-DEC-80 - due on 31/12/2023,,31/12/2023,,38.92,,,TDS amount reversed
BLINKIT_ONLY_TDS_REVERSAL,TDS-REV-FEB-76 - due on 29/02/2024,TDS-REV-FEB-76 - due on 29/02/2024,,29/02/2024,,4.99,,,TDS amount reversed
BLINKIT_ONLY_TDS_REVERSAL,TDS-REV-JAN-78 - due on 31/01/2024,TDS-REV-JAN-78 - due on 31/01/2024,,31/01/2024,,3.16,,,TDS amount reversed
BLINKIT_ONLY_TDS_REVERSAL,TDS-REV-JUL-125 - due on 31/07/2023,TDS-REV-JUL-125 - due on 31/07/2023,,31/07/2023,,0.57,,,TDS amount reversed
BLINKIT_ONLY_TDS_REVERSAL,TDS-REV-JUNE-60 - due on 30/06/2023,TDS-REV-JUNE-60 - due on 30/06/2023,,30/06/2023,,1.64,,,TDS amount reversed
BLINKIT_ONLY_TDS_REVERSAL,TDS-REV-MAR-78 - due on 31/03/2024,TDS-REV-MAR-78 - due on 31/03/2024,,31/03/2024,,1.19,,,TDS amount reversed
BLINKIT_ONLY_TDS_REVERSAL,TDS-REV-OCT-67 - due on 31/10/2023,TDS-REV-OCT-67 - due on 31/10/2023,,31/10/2023,,9.40,,,TDS amount reversed
BLINKIT_ONLY_TDS_REVERSAL,TDS-REV-SEP-153 - due on 30/09/2023,TDS-REV-SEP-153 - due on 30/09/2023,,30/09/2023,,11.62,,,TDS amount reversed
BLINKIT_ONLY_TDS_REVERSAL,TDS-REV-SEP-57 - due on 30/09/2023,TDS-REV-SEP-57 - due on 30/09/2023,,30/09/2023,,3.01,,,TDS amount reversed
TALLY_ONLY,NY/23-24/097,,NY/23-24/097,,31-May-23,,43239.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/098,,NY/23-24/098,,31-May-23,,59098.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/161,,NY/23-24/161,,29-Jun-23,,55347.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/208,,NY/23-24/208,,17-Jul-23,,32910.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/214,,NY/23-24/214,,21-Jul-23,,17277.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/239,,NY/23-24/239,,27-Jul-23,,9757.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/240,,NY/23-24/240,,31-Jul-23,,34321.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/250,,NY/23-24/250,,11-Aug-23,,19570.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/251,,NY/23-24/251,,11-Aug-23,,14960.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/264,,NY/23-24/264,,25-Aug-23,,22475.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/270,,NY/23-24/270,,30-Aug-23,,44897.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/271,,NY/23-24/271,,30-Aug-23,,57618.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/272,,NY/23-24/272,,30-Aug-23,,36141.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/274,,NY/23-24/274,,31-Aug-23,,38462.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/275,,NY/23-24/275,,31-Aug-23,,26869.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/276,,NY/23-24/276,,31-Aug-23,,25802.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/293,,NY/23-24/293,,21-Sep-23,,55400.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/298,,NY/23-24/298,,28-Sep-23,,26827.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/299,,NY/23-24/299,,28-Sep-23,,71408.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/319,,NY/23-24/319,,24-Oct-23,,110709.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/353,,NY/23-24/353,,2-Nov-23,,30474.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/366,,NY/23-24/366,,24-Nov-23,,74498.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/369,,NY/23-24/369,,24-Nov-23,,31071.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/411,,NY/23-24/411,,19-Jan-24,,58210.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/422,,NY/23-24/422,,31-Jan-24,,30910.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/440,,NY/23-24/440,,26-Feb-24,,56092.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/446,,NY/23-24/446,,28-Feb-24,,22628.00,,Inv not found in Blintit
TALLY_ONLY,NY/23-24/465,,NY/23-24/465,,15-Mar-24,,18044.00,,Inv not found in Blintit
