reconciliation_status,match_stage,tally_row_id,blinkit_row_id,tally_invoice_number,blinkit_invoice_number,tally_invoice_number_clean,blinkit_invoice_number_clean,tally_invoice_date,blinkit_invoice_date,tally_invoice_date_clean,blinkit_invoice_date_clean,tally_amount,blinkit_amount,amount_difference,date_difference_days,remarks
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,17,11,NY/23-24/091,NY/23-24/091,NY/23-24/091,NY/23-24/091,27-May-23,17/08/2023,2023-05-27,2023-08-17,65050.00,65085.58,-35.58,-82,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,18,10,NY/23-24/092,NY/23-24/092,NY/23-24/092,NY/23-24/092,27-May-23,01/08/2023,2023-05-27,2023-08-01,43758.00,43758.04,-0.04,-66,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,21,5,NY/23-24/122,NY/23-24/122,NY/23-24/122,NY/23-24/122,14-Jun-23,26/06/2023,2023-06-14,2023-06-26,31469.00,31468.78,0.22,-12,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,22,14,NY/23-24/123,NY/23-24/123,NY/23-24/123,NY/23-24/123,14-Jun-23,23/08/2023,2023-06-14,2023-08-23,26066.00,26066.35,-0.35,-70,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,23,7,NY/23-24/149,NY/23-24/149,NY/23-24/149,NY/23-24/149,24-Jun-23,05/07/2023,2023-06-24,2023-07-05,114456.00,114456.37,-0.37,-11,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,25,8,NY/23-24/202,NY/23-24/202,NY/23-24/202,NY/23-24/202,15-Jul-23,28/07/2023,2023-07-15,2023-07-28,30726.00,30725.86,0.14,-13,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,28,15,NY/23-24/215,NY/23-24/215,NY/23-24/215,NY/23-24/215,21-Jul-23,24/08/2023,2023-07-21,2023-08-24,18985.00,18984.63,0.37,-34,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,30,13,NY/23-24/237,NY/23-24/237,NY/23-24/237,NY/23-24/237,31-Jul-23,23/08/2023,2023-07-31,2023-08-23,62565.00,62564.70,0.30,-23,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,31,12,NY/23-24/238,NY/23-24/238,NY/23-24/238,NY/23-24/238,31-Jul-23,18/08/2023,2023-07-31,2023-08-18,32837.00,32837.58,-0.58,-18,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,35,22,NY/23-24/257,NY/23-24/257,NY/23-24/257,NY/23-24/257,19-Aug-23,04/09/2023,2023-08-19,2023-09-04,45314.00,45313.71,0.29,-16,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,36,23,NY/23-24/262,NY/23-24/262,NY/23-24/262,NY/23-24/262,24-Aug-23,08/09/2023,2023-08-24,2023-09-08,113985.00,113985.29,-0.29,-15,Invoice number matched but date and amount differ
DATE_MISMATCH,STAGE_2_3_SAME_INVOICE,44,24,NY/23-24/282,NY/23-24/282,NY/23-24/282,NY/23-24/282,8-Sep-23,18/09/2023,2023-09-08,2023-09-18,57674.00,57674.01,-0.01,-10,Invoice number and amount matched but date differs
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,45,27,NY/23-24/287,NY/23-24/287,NY/23-24/287,NY/23-24/287,15-Sep-23,05/10/2023,2023-09-15,2023-10-05,19907.84,19908.07,-0.23,-20,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,46,28,NY/23-24/288,NY/23-24/288,NY/23-24/288,NY/23-24/288,15-Sep-23,05/10/2023,2023-09-15,2023-10-05,17232.64,17232.55,0.09,-20,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,50,30,NY/23-24/308,NY/23-24/308,NY/23-24/308,NY/23-24/308,6-Oct-23,15/12/2023,2023-10-06,2023-12-15,265155.00,265156.29,-1.29,-70,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,55,31,NY/23-24/374,NY/23-24/374,NY/23-24/374,NY/23-24/374,2-Dec-23,18/12/2023,2023-12-02,2023-12-18,118111.00,118111.78,-0.78,-16,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,56,32,NY/23-24/378,NY/23-24/378,NY/23-24/378,NY/23-24/378,9-Dec-23,22/12/2023,2023-12-09,2023-12-22,64772.00,64771.68,0.32,-13,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,57,34,NY/23-24/387,NY/23-24/387,NY/23-24/387,NY/23-24/387,18-Dec-23,05/01/2024,2023-12-18,2024-01-05,28195.00,28195.31,-0.31,-18,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,58,35,NY/23-24/398,NY/23-24/398,NY/23-24/398,NY/23-24/398,29-Dec-23,09/01/2024,2023-12-29,2024-01-09,65322.00,65321.98,0.02,-11,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,59,36,NY/23-24/402,NY/23-24/402,NY/23-24/402,NY/23-24/402,4-Jan-24,26/01/2024,2024-01-04,2024-01-26,49899.00,49898.72,0.28,-22,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,60,37,NY/23-24/409,NY/23-24/409,NY/23-24/409,NY/23-24/409,11-Jan-24,31/01/2024,2024-01-11,2024-01-31,60923.00,60923.45,-0.45,-20,Invoice number matched but date and amount differ
